Date,Open,High,Low,Close,Volume
2022-04-20,35.18191853402492,36.00750175838643,34.915322515906134,34.975521087646484,8147400
2022-04-21,35.431308144289595,35.586105381198536,33.84893894077917,34.08113479614258,6927300
2022-04-22,34.106935180922044,34.106935180922044,32.99755601353679,33.049156188964844,8275900
2022-04-25,32.89435761037527,33.43614794840144,32.300970379587476,33.367347717285156,8095700
2022-04-26,32.90295305018952,33.41894489559129,32.45576471031338,32.46436309814453,5977500
2022-04-27,32.46436297000613,33.109350313781086,32.404164413699824,32.84275436401367,7068400
2022-04-28,33.41895445184701,33.55655166051878,32.765365250223915,33.50495147705078,6919500
2022-04-29,33.49635121653928,33.75434555832208,32.19777455666342,32.27517318725586,5642500
2022-05-02,32.52456936057714,32.70516507299654,31.79358484045511,32.455772399902344,7723300
2022-05-03,32.636366489453245,33.1265567019743,32.4557707860141,32.945960998535156,5813500
2022-05-04,32.89435848898582,34.02953608812046,32.61916411832141,33.96073913574219,7213500
2022-05-05,33.57374226716944,33.633940823975166,32.02577328538244,32.66215896606445,6292900
2022-05-06,32.60196350029978,32.68796050943995,31.630181550252967,32.25796890258789,6481300
2022-05-09,31.913974876131764,32.02577360298338,31.234587407643605,31.64737892150879,6376600
2022-05-10,31.931177208247878,32.16337306645278,30.62400234756228,31.458187103271484,6269500
2022-05-11,31.3033905207008,32.283770866623435,30.770198562278324,30.838998794555664,7171100
2022-05-12,30.62399945148865,30.933593899817218,30.06500911083148,30.77019500732422,6472600
2022-05-13,31.03679463284138,31.3033906128373,30.615401410341462,30.933597564697266,5414800
2022-05-16,30.89919602183643,31.114191817546075,30.391805812738646,30.692798614501953,5365900
2022-05-17,31.45818591012169,32.04297144716185,31.397984070136587,31.97417449951172,4715300
2022-05-18,31.68177928913466,31.802176404907847,30.761597583639173,31.002391815185547,5689600
2022-05-19,30.675598265844826,31.157190024667855,30.383207135809073,30.658401489257812,5594000
2022-05-20,30.933593439848217,31.148589216815576,29.884412998463418,30.649797439575195,4521300
2022-05-23,31.432393076174648,31.97418354470437,31.045399884367708,31.655990600585938,4424600
2022-05-24,31.638783141409565,31.707580092436743,30.80459837639163,31.483985900878906,4677200
2022-05-25,31.449588441036703,32.395568741435035,31.337789695528432,32.19777297973633,4552600
2022-05-26,32.48156675023311,33.37595009014808,32.386968070741524,33.20395278930664,5313300
2022-05-27,33.21255599562858,33.71994630239207,33.08356046171821,33.633949279785156,3118700
2022-05-31,33.18675544243674,34.124137363999836,33.057756636122875,33.909141540527344,5320700
2022-06-01,34.08113073160051,34.08113073160051,32.78255443024201,33.31574630737305,3594800
2022-06-02,33.50494637056681,33.83174092157165,33.040554631861376,33.81454086303711,2771500
2022-06-03,33.530752389972854,33.8231468613297,33.401753574742195,33.470550537109375,3746800
2022-06-06,33.87474183123308,34.459530740598815,33.56514731679523,33.92634201049805,3475300
2022-06-07,33.659740424772735,34.055331891825176,33.37594768730482,34.02093505859375,3927500
